Wind power DK prognosis in MWh;;;
Data was last updated 13-04-2019;;;
;Hours;DK1;DK2
01/01/2019;00 - 01;3510;978
01/01/2019;01 - 02;3535;1017
01/01/2019;02 - 03;3421;1015
01/01/2019;03 - 04;3213;991
01/01/2019;04 - 05;3222;984
01/01/2019;05 - 06;3306;1032
01/01/2019;06 - 07;3290;1057
01/01/2019;07 - 08;3157;1049
01/01/2019;08 - 09;2953;1012
01/01/2019;09 - 10;2848;990
01/01/2019;10 - 11;2937;1025
01/01/2019;11 - 12;2957;998
01/01/2019;12 - 13;2939;994
01/01/2019;13 - 14;2909;969
01/01/2019;14 - 15;2930;943
01/01/2019;15 - 16;2985;963
01/01/2019;16 - 17;3069;980
01/01/2019;17 - 18;3199;1005
01/01/2019;18 - 19;3318;1040
01/01/2019;19 - 20;3502;1077
01/01/2019;20 - 21;3496;1067
01/01/2019;21 - 22;3370;1032
01/01/2019;22 - 23;3370;1024
01/01/2019;23 - 00;3429;1040
02/01/2019;00 - 01;2833;1005
02/01/2019;01 - 02;2876;1014
02/01/2019;02 - 03;2795;981
02/01/2019;03 - 04;2661;936
02/01/2019;04 - 05;3158;976
02/01/2019;05 - 06;3301;1016
02/01/2019;06 - 07;3288;1045
02/01/2019;07 - 08;3159;1039
02/01/2019;08 - 09;2862;988
02/01/2019;09 - 10;2530;945
02/01/2019;10 - 11;2402;976
02/01/2019;11 - 12;2252;997
02/01/2019;12 - 13;2096;1010
02/01/2019;13 - 14;1858;976
02/01/2019;14 - 15;1575;942
02/01/2019;15 - 16;1339;907
02/01/2019;16 - 17;1185;849
02/01/2019;17 - 18;1083;747
02/01/2019;18 - 19;1006;625
02/01/2019;19 - 20;953;539
02/01/2019;20 - 21;886;472
02/01/2019;21 - 22;784;423
02/01/2019;22 - 23;845;422
02/01/2019;23 - 00;854;420
03/01/2019;00 - 01;759;389
03/01/2019;01 - 02;722;414
03/01/2019;02 - 03;740;415
03/01/2019;03 - 04;739;432
03/01/2019;04 - 05;763;428
03/01/2019;05 - 06;794;414
03/01/2019;06 - 07;853;447
03/01/2019;07 - 08;884;478
03/01/2019;08 - 09;861;461
03/01/2019;09 - 10;844;430
03/01/2019;10 - 11;723;381
03/01/2019;11 - 12;601;316
03/01/2019;12 - 13;528;278
03/01/2019;13 - 14;442;241
03/01/2019;14 - 15;385;174
03/01/2019;15 - 16;383;108
03/01/2019;16 - 17;479;78
03/01/2019;17 - 18;663;57
03/01/2019;18 - 19;875;53
03/01/2019;19 - 20;1102;89
03/01/2019;20 - 21;1328;147
03/01/2019;21 - 22;1494;200
03/01/2019;22 - 23;1740;208
03/01/2019;23 - 00;1984;244
04/01/2019;00 - 01;2091;331
04/01/2019;01 - 02;2349;393
04/01/2019;02 - 03;2450;496
04/01/2019;03 - 04;2435;580
04/01/2019;04 - 05;2409;610
04/01/2019;05 - 06;2410;633
04/01/2019;06 - 07;2367;687
04/01/2019;07 - 08;2288;699
04/01/2019;08 - 09;2274;654
04/01/2019;09 - 10;2264;630
04/01/2019;10 - 11;2368;604
04/01/2019;11 - 12;2407;554
04/01/2019;12 - 13;2552;528
04/01/2019;13 - 14;2626;499
04/01/2019;14 - 15;2787;465
04/01/2019;15 - 16;2903;485
04/01/2019;16 - 17;2994;542
04/01/2019;17 - 18;3010;593
04/01/2019;18 - 19;2965;667
04/01/2019;19 - 20;3016;707
04/01/2019;20 - 21;2944;674
04/01/2019;21 - 22;2819;631
04/01/2019;22 - 23;2824;644
04/01/2019;23 - 00;2841;645
05/01/2019;00 - 01;2774;563
05/01/2019;01 - 02;2690;569
05/01/2019;02 - 03;2495;545
05/01/2019;03 - 04;2230;515
05/01/2019;04 - 05;2145;470
05/01/2019;05 - 06;2105;454
05/01/2019;06 - 07;1962;499
05/01/2019;07 - 08;1707;523
05/01/2019;08 - 09;1409;505
05/01/2019;09 - 10;1169;462
05/01/2019;10 - 11;961;334
05/01/2019;11 - 12;735;270
05/01/2019;12 - 13;617;289
05/01/2019;13 - 14;546;307
05/01/2019;14 - 15;459;220
05/01/2019;15 - 16;391;155
05/01/2019;16 - 17;311;118
05/01/2019;17 - 18;269;81
05/01/2019;18 - 19;247;64
05/01/2019;19 - 20;253;60
05/01/2019;20 - 21;278;53
05/01/2019;21 - 22;303;41
05/01/2019;22 - 23;307;33
05/01/2019;23 - 00;279;23
06/01/2019;00 - 01;90;10
06/01/2019;01 - 02;98;9
06/01/2019;02 - 03;117;6
06/01/2019;03 - 04;123;6
06/01/2019;04 - 05;135;6
06/01/2019;05 - 06;160;6
06/01/2019;06 - 07;176;11
06/01/2019;07 - 08;203;12
06/01/2019;08 - 09;263;17
06/01/2019;09 - 10;354;32
06/01/2019;10 - 11;451;55
06/01/2019;11 - 12;557;59
06/01/2019;12 - 13;671;55
06/01/2019;13 - 14;736;55
06/01/2019;14 - 15;773;63
06/01/2019;15 - 16;789;72
06/01/2019;16 - 17;812;82
06/01/2019;17 - 18;853;83
06/01/2019;18 - 19;887;84
06/01/2019;19 - 20;910;90
06/01/2019;20 - 21;857;106
06/01/2019;21 - 22;779;120
06/01/2019;22 - 23;751;142
06/01/2019;23 - 00;768;158
07/01/2019;00 - 01;746;105
07/01/2019;01 - 02;729;101
07/01/2019;02 - 03;722;98
07/01/2019;03 - 04;715;101
07/01/2019;04 - 05;692;88
07/01/2019;05 - 06;725;73
07/01/2019;06 - 07;753;73
07/01/2019;07 - 08;744;92
07/01/2019;08 - 09;727;147
07/01/2019;09 - 10;785;222
07/01/2019;10 - 11;833;277
07/01/2019;11 - 12;886;300
07/01/2019;12 - 13;1027;306
07/01/2019;13 - 14;1296;306
07/01/2019;14 - 15;1739;326
07/01/2019;15 - 16;2291;353
07/01/2019;16 - 17;2810;432
07/01/2019;17 - 18;3233;625
07/01/2019;18 - 19;3372;829
07/01/2019;19 - 20;3407;960
07/01/2019;20 - 21;3221;989
07/01/2019;21 - 22;2946;960
07/01/2019;22 - 23;2832;929
07/01/2019;23 - 00;2843;888
08/01/2019;00 - 01;3199;862
08/01/2019;01 - 02;3018;870
08/01/2019;02 - 03;2720;897
08/01/2019;03 - 04;2509;915
08/01/2019;04 - 05;2436;906
08/01/2019;05 - 06;2618;908
08/01/2019;06 - 07;2783;884
08/01/2019;07 - 08;2947;832
08/01/2019;08 - 09;3019;809
08/01/2019;09 - 10;2944;823
08/01/2019;10 - 11;3019;883
08/01/2019;11 - 12;3212;955
08/01/2019;12 - 13;3383;985
08/01/2019;13 - 14;3457;989
08/01/2019;14 - 15;3526;989
08/01/2019;15 - 16;3587;1008
08/01/2019;16 - 17;3646;1018
08/01/2019;17 - 18;3661;1045
08/01/2019;18 - 19;3604;1065
08/01/2019;19 - 20;3711;1102
08/01/2019;20 - 21;3640;1087
08/01/2019;21 - 22;3480;1046
08/01/2019;22 - 23;3439;1045
08/01/2019;23 - 00;3530;1069
09/01/2019;00 - 01;3509;1056
09/01/2019;01 - 02;3391;1025
09/01/2019;02 - 03;3284;995
09/01/2019;03 - 04;3260;981
09/01/2019;04 - 05;3233;976
09/01/2019;05 - 06;3256;1006
09/01/2019;06 - 07;3245;1036
09/01/2019;07 - 08;3151;1021
09/01/2019;08 - 09;3075;989
09/01/2019;09 - 10;2975;961
09/01/2019;10 - 11;2983;977
09/01/2019;11 - 12;3012;988
09/01/2019;12 - 13;3023;982
09/01/2019;13 - 14;2944;961
09/01/2019;14 - 15;2774;936
09/01/2019;15 - 16;2529;899
09/01/2019;16 - 17;2332;850
09/01/2019;17 - 18;2151;822
09/01/2019;18 - 19;1955;786
09/01/2019;19 - 20;1849;770
09/01/2019;20 - 21;1655;702
09/01/2019;21 - 22;1437;621
09/01/2019;22 - 23;1277;579
09/01/2019;23 - 00;1114;542
10/01/2019;00 - 01;490;350
10/01/2019;01 - 02;355;304
10/01/2019;02 - 03;243;264
10/01/2019;03 - 04;176;231
10/01/2019;04 - 05;135;204
10/01/2019;05 - 06;118;163
10/01/2019;06 - 07;120;126
10/01/2019;07 - 08;119;93
10/01/2019;08 - 09;128;61
10/01/2019;09 - 10;159;47
10/01/2019;10 - 11;197;33
10/01/2019;11 - 12;251;24
10/01/2019;12 - 13;323;21
10/01/2019;13 - 14;429;23
10/01/2019;14 - 15;561;25
10/01/2019;15 - 16;709;32
10/01/2019;16 - 17;876;45
10/01/2019;17 - 18;1080;67
10/01/2019;18 - 19;1243;102
10/01/2019;19 - 20;1401;145
10/01/2019;20 - 21;1483;195
10/01/2019;21 - 22;1584;249
10/01/2019;22 - 23;1730;329
10/01/2019;23 - 00;1910;441
11/01/2019;00 - 01;2132;506
11/01/2019;01 - 02;2241;534
11/01/2019;02 - 03;2305;521
11/01/2019;03 - 04;2442;499
11/01/2019;04 - 05;2567;505
11/01/2019;05 - 06;2743;516
11/01/2019;06 - 07;2862;562
11/01/2019;07 - 08;2876;561
11/01/2019;08 - 09;2811;583
11/01/2019;09 - 10;2825;610
11/01/2019;10 - 11;2906;650
11/01/2019;11 - 12;2988;674
11/01/2019;12 - 13;3033;679
11/01/2019;13 - 14;3016;677
11/01/2019;14 - 15;2926;681
11/01/2019;15 - 16;2758;683
11/01/2019;16 - 17;2466;669
11/01/2019;17 - 18;2175;644
11/01/2019;18 - 19;1931;602
11/01/2019;19 - 20;1885;552
11/01/2019;20 - 21;1736;475
11/01/2019;21 - 22;1614;395
11/01/2019;22 - 23;1563;355
11/01/2019;23 - 00;1550;322
12/01/2019;00 - 01;1474;365
12/01/2019;01 - 02;1391;368
12/01/2019;02 - 03;1354;354
12/01/2019;03 - 04;1391;349
12/01/2019;04 - 05;1416;362
12/01/2019;05 - 06;1482;370
12/01/2019;06 - 07;1518;420
12/01/2019;07 - 08;1480;438
12/01/2019;08 - 09;1412;492
12/01/2019;09 - 10;1399;522
12/01/2019;10 - 11;1537;591
12/01/2019;11 - 12;1731;628
12/01/2019;12 - 13;1931;644
12/01/2019;13 - 14;2076;675
12/01/2019;14 - 15;2179;718
12/01/2019;15 - 16;2248;747
12/01/2019;16 - 17;2257;763
12/01/2019;17 - 18;2196;785
12/01/2019;18 - 19;2105;799
12/01/2019;19 - 20;1984;787
12/01/2019;20 - 21;1877;749
12/01/2019;21 - 22;1748;697
12/01/2019;22 - 23;1698;712
12/01/2019;23 - 00;1837;709
13/01/2019;00 - 01;1813;688
13/01/2019;01 - 02;1689;682
13/01/2019;02 - 03;1764;653
13/01/2019;03 - 04;1875;638
13/01/2019;04 - 05;1994;655
13/01/2019;05 - 06;2122;664
13/01/2019;06 - 07;2169;693
13/01/2019;07 - 08;2276;682
13/01/2019;08 - 09;2603;691
13/01/2019;09 - 10;2966;686
13/01/2019;10 - 11;3233;767
13/01/2019;11 - 12;3363;891
13/01/2019;12 - 13;3493;950
13/01/2019;13 - 14;3569;972
13/01/2019;14 - 15;3588;992
13/01/2019;15 - 16;3658;1011
13/01/2019;16 - 17;3676;1018
13/01/2019;17 - 18;3690;1033
13/01/2019;18 - 19;3681;1072
13/01/2019;19 - 20;3639;1076
13/01/2019;20 - 21;3488;1054
13/01/2019;21 - 22;3371;1029
13/01/2019;22 - 23;3408;1041
13/01/2019;23 - 00;3570;1058
14/01/2019;00 - 01;3647;1051
14/01/2019;01 - 02;3483;1056
14/01/2019;02 - 03;3230;1024
14/01/2019;03 - 04;3345;1013
14/01/2019;04 - 05;3432;1013
14/01/2019;05 - 06;3443;1015
14/01/2019;06 - 07;3440;1036
14/01/2019;07 - 08;3350;989
14/01/2019;08 - 09;3201;950
14/01/2019;09 - 10;3127;911
14/01/2019;10 - 11;3182;925
14/01/2019;11 - 12;3309;977
14/01/2019;12 - 13;3433;999
14/01/2019;13 - 14;3497;1008
14/01/2019;14 - 15;3520;1016
14/01/2019;15 - 16;3542;1018
14/01/2019;16 - 17;3538;1009
14/01/2019;17 - 18;3560;1010
14/01/2019;18 - 19;3571;1015
14/01/2019;19 - 20;3472;1003
14/01/2019;20 - 21;3349;981
14/01/2019;21 - 22;3291;958
14/01/2019;22 - 23;3147;963
14/01/2019;23 - 00;3034;976
15/01/2019;00 - 01;2342;948
15/01/2019;01 - 02;2155;900
15/01/2019;02 - 03;2065;799
15/01/2019;03 - 04;1977;690
15/01/2019;04 - 05;1847;687
15/01/2019;05 - 06;1639;672
15/01/2019;06 - 07;1313;652
15/01/2019;07 - 08;1020;589
15/01/2019;08 - 09;844;508
15/01/2019;09 - 10;843;394
15/01/2019;10 - 11;1104;337
15/01/2019;11 - 12;1766;269
15/01/2019;12 - 13;2386;250
15/01/2019;13 - 14;2721;453
15/01/2019;14 - 15;3022;731
15/01/2019;15 - 16;3137;900
15/01/2019;16 - 17;3070;959
15/01/2019;17 - 18;2816;979
15/01/2019;18 - 19;2488;968
15/01/2019;19 - 20;2189;904
15/01/2019;20 - 21;1997;819
15/01/2019;21 - 22;1894;737
15/01/2019;22 - 23;1810;704
15/01/2019;23 - 00;1923;678
16/01/2019;00 - 01;1587;609
16/01/2019;01 - 02;1629;549
16/01/2019;02 - 03;1711;601
16/01/2019;03 - 04;1797;654
16/01/2019;04 - 05;1922;700
16/01/2019;05 - 06;2152;740
16/01/2019;06 - 07;2332;793
16/01/2019;07 - 08;2394;755
16/01/2019;08 - 09;2387;684
16/01/2019;09 - 10;2456;613
16/01/2019;10 - 11;2631;633
16/01/2019;11 - 12;2880;683
16/01/2019;12 - 13;3093;715
16/01/2019;13 - 14;3141;735
16/01/2019;14 - 15;3188;778
16/01/2019;15 - 16;3244;832
16/01/2019;16 - 17;3257;870
16/01/2019;17 - 18;3335;931
16/01/2019;18 - 19;3392;982
16/01/2019;19 - 20;3330;1003
16/01/2019;20 - 21;3161;1008
16/01/2019;21 - 22;3111;1005
16/01/2019;22 - 23;2941;1022
16/01/2019;23 - 00;2841;1066
17/01/2019;00 - 01;2607;1002
17/01/2019;01 - 02;2379;970
17/01/2019;02 - 03;2162;892
17/01/2019;03 - 04;1973;775
17/01/2019;04 - 05;1842;754
17/01/2019;05 - 06;1699;825
17/01/2019;06 - 07;1540;879
17/01/2019;07 - 08;1421;869
17/01/2019;08 - 09;1352;840
17/01/2019;09 - 10;1326;760
17/01/2019;10 - 11;1225;718
17/01/2019;11 - 12;1241;662
17/01/2019;12 - 13;1350;562
17/01/2019;13 - 14;1429;447
17/01/2019;14 - 15;1408;422
17/01/2019;15 - 16;1475;416
17/01/2019;16 - 17;1594;418
17/01/2019;17 - 18;1839;430
17/01/2019;18 - 19;2010;456
17/01/2019;19 - 20;1971;492
17/01/2019;20 - 21;1821;524
17/01/2019;21 - 22;1720;570
17/01/2019;22 - 23;1542;609
17/01/2019;23 - 00;1284;606
18/01/2019;00 - 01;1067;705
18/01/2019;01 - 02;964;630
18/01/2019;02 - 03;839;519
18/01/2019;03 - 04;807;395
18/01/2019;04 - 05;822;307
18/01/2019;05 - 06;866;211
18/01/2019;06 - 07;952;143
18/01/2019;07 - 08;874;126
18/01/2019;08 - 09;790;147
18/01/2019;09 - 10;758;200
18/01/2019;10 - 11;713;262
18/01/2019;11 - 12;655;340
18/01/2019;12 - 13;695;349
18/01/2019;13 - 14;786;319
18/01/2019;14 - 15;887;306
18/01/2019;15 - 16;1027;298
18/01/2019;16 - 17;1086;270
18/01/2019;17 - 18;1077;246
18/01/2019;18 - 19;900;224
18/01/2019;19 - 20;733;222
18/01/2019;20 - 21;649;241
18/01/2019;21 - 22;556;243
18/01/2019;22 - 23;495;244
18/01/2019;23 - 00;462;235
19/01/2019;00 - 01;459;225
19/01/2019;01 - 02;482;201
19/01/2019;02 - 03;508;182
19/01/2019;03 - 04;539;161
19/01/2019;04 - 05;527;138
19/01/2019;05 - 06;493;113
19/01/2019;06 - 07;485;108
19/01/2019;07 - 08;510;103
19/01/2019;08 - 09;514;94
19/01/2019;09 - 10;555;83
19/01/2019;10 - 11;593;87
19/01/2019;11 - 12;615;103
19/01/2019;12 - 13;646;103
19/01/2019;13 - 14;642;85
19/01/2019;14 - 15;623;67
19/01/2019;15 - 16;595;53
19/01/2019;16 - 17;613;54
19/01/2019;17 - 18;629;60
19/01/2019;18 - 19;610;61
19/01/2019;19 - 20;579;65
19/01/2019;20 - 21;578;66
19/01/2019;21 - 22;616;65
19/01/2019;22 - 23;646;64
19/01/2019;23 - 00;657;64
20/01/2019;00 - 01;637;84
20/01/2019;01 - 02;609;76
20/01/2019;02 - 03;547;67
20/01/2019;03 - 04;499;60
20/01/2019;04 - 05;446;58
20/01/2019;05 - 06;394;53
20/01/2019;06 - 07;329;48
20/01/2019;07 - 08;285;43
20/01/2019;08 - 09;232;37
20/01/2019;09 - 10;198;35
20/01/2019;10 - 11;194;36
20/01/2019;11 - 12;212;40
20/01/2019;12 - 13;197;49
20/01/2019;13 - 14;188;55
20/01/2019;14 - 15;192;60
20/01/2019;15 - 16;203;66
20/01/2019;16 - 17;243;70
20/01/2019;17 - 18;287;67
20/01/2019;18 - 19;328;65
20/01/2019;19 - 20;357;70
20/01/2019;20 - 21;417;76
20/01/2019;21 - 22;507;87
20/01/2019;22 - 23;617;104
20/01/2019;23 - 00;758;119
21/01/2019;00 - 01;1204;141
21/01/2019;01 - 02;1404;161
21/01/2019;02 - 03;1636;189
21/01/2019;03 - 04;1812;217
21/01/2019;04 - 05;1877;265
21/01/2019;05 - 06;1830;309
21/01/2019;06 - 07;1845;387
21/01/2019;07 - 08;1815;489
21/01/2019;08 - 09;1749;600
21/01/2019;09 - 10;1745;653
21/01/2019;10 - 11;1739;660
21/01/2019;11 - 12;1728;648
21/01/2019;12 - 13;1717;605
21/01/2019;13 - 14;1690;546
21/01/2019;14 - 15;1558;510
21/01/2019;15 - 16;1349;528
21/01/2019;16 - 17;1158;528
21/01/2019;17 - 18;934;479
21/01/2019;18 - 19;688;426
21/01/2019;19 - 20;453;371
21/01/2019;20 - 21;318;307
21/01/2019;21 - 22;239;254
21/01/2019;22 - 23;179;218
21/01/2019;23 - 00;172;206
22/01/2019;00 - 01;150;129
22/01/2019;01 - 02;226;113
22/01/2019;02 - 03;299;102
22/01/2019;03 - 04;417;95
22/01/2019;04 - 05;509;80
22/01/2019;05 - 06;616;74
22/01/2019;06 - 07;753;85
22/01/2019;07 - 08;858;102
22/01/2019;08 - 09;975;112
22/01/2019;09 - 10;1105;133
22/01/2019;10 - 11;1232;160
22/01/2019;11 - 12;1339;217
22/01/2019;12 - 13;1504;253
22/01/2019;13 - 14;1627;267
22/01/2019;14 - 15;1733;319
22/01/2019;15 - 16;1834;367
22/01/2019;16 - 17;1911;432
22/01/2019;17 - 18;2045;541
22/01/2019;18 - 19;2154;641
22/01/2019;19 - 20;2189;674
22/01/2019;20 - 21;2178;668
22/01/2019;21 - 22;2172;669
22/01/2019;22 - 23;2079;650
22/01/2019;23 - 00;2031;636
23/01/2019;00 - 01;1811;566
23/01/2019;01 - 02;1700;524
23/01/2019;02 - 03;1616;485
23/01/2019;03 - 04;1533;460
23/01/2019;04 - 05;1454;447
23/01/2019;05 - 06;1364;418
23/01/2019;06 - 07;1335;424
23/01/2019;07 - 08;1278;424
23/01/2019;08 - 09;1226;387
23/01/2019;09 - 10;1175;373
23/01/2019;10 - 11;1121;366
23/01/2019;11 - 12;1001;367
23/01/2019;12 - 13;958;337
23/01/2019;13 - 14;942;308
23/01/2019;14 - 15;867;292
23/01/2019;15 - 16;817;277
23/01/2019;16 - 17;798;297
23/01/2019;17 - 18;844;349
23/01/2019;18 - 19;880;426
23/01/2019;19 - 20;892;414
23/01/2019;20 - 21;891;394
23/01/2019;21 - 22;866;386
23/01/2019;22 - 23;834;359
23/01/2019;23 - 00;769;328
24/01/2019;00 - 01;702;254
24/01/2019;01 - 02;632;200
24/01/2019;02 - 03;570;162
24/01/2019;03 - 04;539;119
24/01/2019;04 - 05;528;108
24/01/2019;05 - 06;528;110
24/01/2019;06 - 07;571;111
24/01/2019;07 - 08;607;116
24/01/2019;08 - 09;656;124
24/01/2019;09 - 10;709;132
24/01/2019;10 - 11;741;133
24/01/2019;11 - 12;702;135
24/01/2019;12 - 13;660;129
24/01/2019;13 - 14;585;121
24/01/2019;14 - 15;506;109
24/01/2019;15 - 16;435;93
24/01/2019;16 - 17;364;94
24/01/2019;17 - 18;327;107
24/01/2019;18 - 19;325;114
24/01/2019;19 - 20;340;119
24/01/2019;20 - 21;331;112
24/01/2019;21 - 22;295;100
24/01/2019;22 - 23;262;81
24/01/2019;23 - 00;232;62
25/01/2019;00 - 01;142;25
25/01/2019;01 - 02;135;20
25/01/2019;02 - 03;144;17
25/01/2019;03 - 04;147;18
25/01/2019;04 - 05;159;21
25/01/2019;05 - 06;187;15
25/01/2019;06 - 07;250;13
25/01/2019;07 - 08;317;16
25/01/2019;08 - 09;403;20
25/01/2019;09 - 10;485;24
25/01/2019;10 - 11;598;30
25/01/2019;11 - 12;710;47
25/01/2019;12 - 13;855;71
25/01/2019;13 - 14;1002;98
25/01/2019;14 - 15;1209;115
25/01/2019;15 - 16;1443;132
25/01/2019;16 - 17;1684;168
25/01/2019;17 - 18;2061;211
25/01/2019;18 - 19;2385;298
25/01/2019;19 - 20;2487;367
25/01/2019;20 - 21;2424;440
25/01/2019;21 - 22;2273;537
25/01/2019;22 - 23;1964;581
25/01/2019;23 - 00;1650;604
26/01/2019;00 - 01;1329;417
26/01/2019;01 - 02;1126;354
26/01/2019;02 - 03;981;239
26/01/2019;03 - 04;850;155
